=== full logs ===
captured: 2026-09-06T08:48:08.752Z

smart-ac-queue  | 2026-09-06T08:36:55.822962864Z 2026-09-06T08:36:55.821Z INFO  [queue] queue service listening on :3100 (AWS SQS emulator)
actuator-1      | 2026-09-06T08:37:07.711380066Z 2026-09-06T08:37:07.710Z INFO  [store] connected to MongoDB at mongodb://mongo:27017
actuator-1      | 2026-09-06T08:37:07.769715393Z 2026-09-06T08:37:07.769Z INFO  [actuator] actuator service listening on :3140
smart-ac-queue  | 2026-09-06T08:37:13.892586383Z 2026-09-06T08:37:13.892Z DEBUG [queue] send 1 -> telemetry
actuator-1      | 2026-09-06T08:37:07.820287173Z 2026-09-06T08:37:07.820Z INFO  [actuator] connected to MQTT broker (downlink channel ready) {"url":"mqtt://broker:1883"}
actuator-1      | 2026-09-06T08:38:02.108412005Z 2026-09-06T08:38:02.108Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/west-office/setpoint","decision_id":"DEC-1788683881784-45B5D0","zone":"west-office","target_temp":26,"fan":18,"emergency":false,"latencyFromDecisionMs":327}
actuator-1      | 2026-09-06T08:38:02.110797882Z 2026-09-06T08:38:02.110Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/east-office/setpoint","decision_id":"DEC-1788683881799-99CA0E","zone":"east-office","target_temp":26,"fan":19,"emergency":false,"latencyFromDecisionMs":311}
actuator-1      | 2026-09-06T08:38:02.113084514Z 2026-09-06T08:38:02.112Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/meeting-room/setpoint","decision_id":"DEC-1788683881804-88927A","zone":"meeting-room","target_temp":22,"fan":79,"emergency":false,"latencyFromDecisionMs":308}
smart-ac-queue  | 2026-09-06T08:37:13.900074176Z 2026-09-06T08:37:13.899Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:13.900694863Z 2026-09-06T08:37:13.900Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:18.831900243Z 2026-09-06T08:37:18.831Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:18.874605382Z 2026-09-06T08:37:18.874Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:18.885097965Z 2026-09-06T08:37:18.884Z DEBUG [queue] send 1 -> telemetry
actuator-1      | 2026-09-06T08:39:07.724137657Z 2026-09-06T08:39:07.723Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/meeting-room/setpoint","decision_id":"DEC-1788683947399-201C01","zone":"meeting-room","target_temp":22,"fan":100,"emergency":true,"latencyFromDecisionMs":324}
actuator-1      | 2026-09-06T08:40:01.338011307Z 2026-09-06T08:40:01.337Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/meeting-room/setpoint","decision_id":"DEC-1788684001045-4A2FE7","zone":"meeting-room","target_temp":22,"fan":100,"emergency":true,"latencyFromDecisionMs":292}
smart-ac-queue  | 2026-09-06T08:37:23.841953786Z 2026-09-06T08:37:23.841Z DEBUG [queue] send 1 -> telemetry
actuator-1      | 2026-09-06T08:41:00.547957774Z 2026-09-06T08:41:00.547Z INFO  [actuator] setpoint applied and published to edge {"topic":"zones/east-office/setpoint","decision_id":"DEC-1788684060259-5EB73B","zone":"east-office","target_temp":21,"fan":44,"emergency":false,"latencyFromDecisionMs":289}
smart-ac-queue  | 2026-09-06T08:37:23.881301992Z 2026-09-06T08:37:23.880Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:23.890990084Z 2026-09-06T08:37:23.890Z DEBUG [queue] send 1 -> telemetry
smart-ac-queue  | 2026-09-06T08:37:28.848223569Z 2026-09-06T08:37:28.847Z DEBUG [queue] send 1 -> telemetry
